Commodity	Unit	Minimum	Maximum	Average
Tomato Big(Nepali)	KG	Rs 20.00	Rs 25.00	Rs 22.33
Tomato Big(Indian)	KG	Rs 40.00	Rs 50.00	Rs 45.00
Tomato Small(Terai)	KG	Rs 14.00	Rs 22.00	Rs 18.00
Potato Red	KG	Rs 32.00	Rs 34.00	Rs 33.00
Potato Red(Indian)	KG	Rs 30.00	Rs 32.00	Rs 31.00
Onion Dry (Indian)	KG	Rs 64.00	Rs 68.00	Rs 66.00
Carrot(Local)	KG	Rs 30.00	Rs 40.00	Rs 35.00
Carrot(Terai)	KG	Rs 25.00	Rs 30.00	Rs 27.67
Cabbage(Local)	KG	Rs 8.00	Rs 12.00	Rs 10.00
Cabbage(Terai)	KG	Rs 8.00	Rs 12.00	Rs 10.00
Cabbage	KG	Rs 10.00	Rs 15.00	Rs 12.33
Cauli Local	KG	Rs 10.00	Rs 15.00	Rs 12.33
Cauli Local(Jyapu)	KG	Rs 15.00	Rs 20.00	Rs 17.67
Cauli Terai	KG	Rs 10.00	Rs 15.00	Rs 12.33
Raddish Red	KG	Rs 30.00	Rs 40.00	Rs 35.00
Raddish White(Local)	KG	Rs 15.00	Rs 20.00	Rs 17.67
Raddish White(Hybrid)	KG	Rs 20.00	Rs 30.00	Rs 25.00
Brinjal Long	KG	Rs 30.00	Rs 40.00	Rs 35.00
Brinjal Round	KG	Rs 50.00	Rs 60.00	Rs 55.00
Green Peas	KG	Rs 40.00	Rs 50.00	Rs 45.00
French Bean(Local)	KG	Rs 40.00	Rs 50.00	Rs 45.00
French Bean(Hybrid)	KG	Rs 40.00	Rs 50.00	Rs 45.00
French Bean(Rajma)	KG	Rs 80.00	Rs 90.00	Rs 85.00
Sword Bean	KG	Rs 70.00	Rs 80.00	Rs 75.00
Bitter Gourd	KG	Rs 110.00	Rs 130.00	Rs 120.00
Bottle Gourd	KG	Rs 40.00	Rs 50.00	Rs 45.00
Pointed Gourd(Terai)	KG	Rs 180.00	Rs 200.00	Rs 190.00
Smooth Gourd	KG	Rs 80.00	Rs 90.00	Rs 85.00
Sponge Gourd	KG	Rs 80.00	Rs 90.00	Rs 85.00
Pumpkin	KG	Rs 40.00	Rs 50.00	Rs 45.00
Squash(Long)	KG	Rs 10.00	Rs 15.00	Rs 12.33
Squash(Round)	KG	Rs 10.00	Rs 15.00	Rs 12.33
Okara	KG	Rs 120.00	Rs 130.00	Rs 125.00
Sweet Potato	KG	Rs 60.00	Rs 70.00	Rs 65.00
Barela	KG	Rs 30.00	Rs 40.00	Rs 35.00
Arum	KG	Rs 110.00	Rs 120.00	Rs 115.00
Christophine	KG	Rs 30.00	Rs 40.00	Rs 35.00
Brd Leaf Mustard	KG	Rs 15.00	Rs 20.00	Rs 17.67
Spinach Leaf	KG	Rs 50.00	Rs 60.00	Rs 55.00
Cress Leaf	KG	Rs 70.00	Rs 80.00	Rs 75.00
Mustard Leaf	KG	Rs 30.00	Rs 40.00	Rs 35.00
Fenugreek Leaf	KG	Rs 50.00	Rs 60.00	Rs 55.00
Onion Green	KG	Rs 20.00	Rs 30.00	Rs 25.00
Bakula	KG	Rs 40.00	Rs 50.00	Rs 45.00
Yam	KG	Rs 80.00	Rs 90.00	Rs 85.00
